ID,smiles,method,method_label,init_mode,seed,rank,p_sweet_reencoded,pred_logsw_reencoded,d_ood_reencoded,final_score,sweet_gate_pass,pred_logsw_pass,ood_pass,pre_docking_goldlike,vina_kcal_mol,real_vina_supported,gold_real_vina
B_seed2028_final_top10,COc1cc2c(cc1OC(C)=O)N1CC3C4COC56CN7C(=N2)C41C51OP(=O)(O6)OC371,B,SweetDB-seeded GA,group_b_dataset,2028,10,0.6591337323188782,3.150700330734253,9.01681137084961,3.229540567398072,False,True,False,False,-10.161,True,False
B_seed2029_final_top1,CC(=O)Oc1c2cc3c4c1N1C(=O)C56C(N4C)C1(CN25)C(=O)N36,B,SweetDB-seeded GA,group_b_dataset,2029,1,0.1594343483448028,3.256266593933105,6.83455753326416,2.803531150817871,False,True,True,False,-8.233,True,False
B_seed2029_final_top2,NC(=O)C1=C2SC3=NN2C2(O)N(CC(O)C12C(=O)O)C3=O,B,SweetDB-seeded GA,group_b_dataset,2029,2,0.0045690038241446,2.9083735942840576,5.081131935119629,2.21431321144104,False,True,True,False,-6.768,False,False
B_seed2029_final_top3,CC(=O)C1CC(Nc2ccccc2Cl)(C(=O)O)CC1=O,B,SweetDB-seeded GA,group_b_dataset,2029,3,0.0184451937675476,2.8197221755981445,6.507185459136963,2.2037007808685303,False,True,True,False,-7.475,True,False
B_seed2029_final_top4,COC1=CC=C2C=C3C(=O)C14CC3C(=O)N24,B,SweetDB-seeded GA,group_b_dataset,2029,4,0.0004713805974461,2.7646284103393555,5.344491004943848,2.125241279602051,False,True,True,False,-7.194,True,False
B_seed2029_final_top5,CCC(O)(CNC(=O)CCC(=O)O)CNC(=O)c1ccc(Cl)cc1O,B,SweetDB-seeded GA,group_b_dataset,2029,5,0.9943488240242004,2.654895782470703,5.874006271362305,3.1520702838897705,True,True,True,True,-7.499,True,True
B_seed2029_final_top6,COc1cc2c3c(n1)N1CC4(C)C(=O)N3C1(CC(=O)O)C(=O)N24,B,SweetDB-seeded GA,group_b_dataset,2029,6,0.0481461025774478,2.6519789695739746,6.604916572570801,2.0545689868927,False,True,True,False,-7.6,True,False
B_seed2029_final_top7,CNC1NC(SCCOC)=NC(=O)C1Sc1ccccn1,B,SweetDB-seeded GA,group_b_dataset,2029,7,0.984459400177002,2.5907628536224365,5.905148506164551,3.082992553710937,True,False,True,False,-6.468,False,False
B_seed2029_final_top8,CC12C(=O)N3CC14OC(CO)N2C(=O)C3C4C(=O)O,B,SweetDB-seeded GA,group_b_dataset,2029,8,0.0138336531817913,2.558917284011841,5.089786529541016,1.9369008541107176,False,False,True,False,-7.905,True,False
B_seed2029_final_top9,COCC12C(=O)N3C4C(=O)N1C3C1OC3CC1C2(NC3=O)C4C(=O)O,B,SweetDB-seeded GA,group_b_dataset,2029,9,0.0022371525410562,2.554105758666992,6.437488555908203,1.897014122009277,False,False,True,False,-8.837,True,False
B_seed2029_final_top10,CCOC1(N(C)C(=O)C=Cc2ccc(C)o2)CCN(C(N)=O)CC1,B,SweetDB-seeded GA,group_b_dataset,2029,10,0.4881725013256073,2.549206256866455,6.462514400482178,2.543830394744873,False,False,True,False,-7.35,True,False
B_seed2030_final_top1,CCN=NN1C2=Cc3c4ccn3C1(C(=O)O2)N4C,B,SweetDB-seeded GA,group_b_dataset,2030,1,0.1258190423250198,4.06907320022583,6.181112289428711,3.5926380157470703,False,True,True,False,-7.183,True,False
B_seed2030_final_top2,CC(N)S(=O)(=O)N(C)C12C(=O)OC(=Cc3cccn31)N2N,B,SweetDB-seeded GA,group_b_dataset,2030,2,0.5007051825523376,3.979469060897827,6.345559597015381,3.9903857707977295,False,True,True,False,-7.031,True,False
B_seed2030_final_top3,CCN1C2=C3OC(=O)C45N2N=CN4c2cc1n5c23,B,SweetDB-seeded GA,group_b_dataset,2030,3,0.9418442249298096,3.771307468414306,6.225666999816895,4.222229461669922,True,True,True,True,-6.965,True,True
B_seed2030_final_top4,CCN1Cn2c3=c1-c1=c4oc(=O)c2=n-n-4-c-3=c-o-1,B,SweetDB-seeded GA,group_b_dataset,2030,4,0.0084398305043578,3.490323543548584,6.138440132141113,2.861295461654663,False,True,True,False,-6.733,False,False
B_seed2030_final_top5,CC=C1C=C2OC(=O)C3(N(C)CC)N1C=NN23,B,SweetDB-seeded GA,group_b_dataset,2030,5,0.4357676804065704,3.45918083190918,5.560675621032715,3.385678768157959,False,True,True,False,-5.989,False,False
B_seed2030_final_top6,CCNC12C(=O)OC3=CC(=C(C)NC)N1C=NN32,B,SweetDB-seeded GA,group_b_dataset,2030,6,0.1287915855646133,3.274858236312866,6.502767086029053,2.802287340164185,False,True,True,False,-6.257,False,False
B_seed2030_final_top7,CCN1CN2C3=NN4C(=CO)C=C1C2=C4OC3=O,B,SweetDB-seeded GA,group_b_dataset,2030,7,0.114075593650341,3.1419882774353027,5.75029182434082,2.650286674499512,False,True,True,False,-7.08,True,False
B_seed2030_final_top8,CCN1C=NN2C3=Cc4cccn4C12C(=O)O3,B,SweetDB-seeded GA,group_b_dataset,2030,8,0.0594929978251457,3.090665817260742,6.068679332733154,2.528006792068481,False,True,True,False,-6.645,False,False
B_seed2030_final_top9,CCN1C2=C3C(=C4OC(=O)C15N3C=NN45)OC=C2,B,SweetDB-seeded GA,group_b_dataset,2030,9,0.0135777238756418,3.076279878616333,6.4748711585998535,2.453930854797364,False,True,True,False,-7.006,True,False
B_seed2030_final_top10,CCC(CC)(CC1N2C(=O)CCC2C2NC=C(C=O)N21)c1ccccn1,B,SweetDB-seeded GA,group_b_dataset,2030,10,0.0712914988398552,3.0216660499572754,6.777246952056885,2.4743449687957764,False,True,True,False,-7.301,True,False
