generation,evaluations,elapsed_time_sec,mean_score,best_score,best_score_so_far,top10_mean_score,mean_pred_logsw,mean_pred_logsw_clipped,best_pred_logsw,best_pred_logsw_so_far,top10_mean_pred_logsw,mean_p_sweet,best_p_sweet,mean_d_ood,best_d_ood,success_count,success_rate,no_improve,method,seed
9,270,0.5505537986755371,4.232049465179443,4.319676876068115,4.319676876068115,4.287755966186523,3.733626127243042,3.5,3.821125507354736,3.821125507354736,3.7895679473876953,0.996847689151764,0.997102677822113,6.082318305969238,5.884058952331543,30,1.0,0,B,2027
10,300,0.5850722789764404,4.277740955352783,4.360243320465088,4.360243320465088,4.321139812469482,3.77929425239563,3.5,3.860960721969605,3.860960721969605,3.8225364685058594,0.996892750263214,0.9985654950141908,6.077154159545898,6.161606788635254,30,1.0,0,B,2027
11,330,0.6291916370391846,4.287676811218262,4.360243320465088,4.360243320465088,4.331637859344482,3.789161682128906,3.5,3.860960721969605,3.860960721969605,3.8328843116760254,0.9970305562019348,0.9985654950141908,6.080027580261231,6.161606788635254,30,1.0,1,B,2027
12,360,0.6672894954681396,4.333066463470459,4.45367431640625,4.45367431640625,4.3786163330078125,3.834451913833618,3.5,3.955249071121216,3.955249071121216,3.8799006938934326,0.9972292184829712,0.9968500733375548,6.060575485229492,5.992955207824707,30,1.0,0,B,2027
1,30,0.2384464740753173,2.1113851070404053,3.151421546936035,3.151421546936035,2.921962022781372,1.6400892734527588,1.6400892734527588,2.65221643447876,2.65221643447876,2.4457995891571045,0.969274401664734,0.9984103441238404,5.9597930908203125,6.269123554229736,9,0.3,0,B,2028
2,60,0.2789859771728515,2.8353042602539062,3.3455746173858643,3.3455746173858643,3.133939504623413,2.3452439308166504,2.3452439308166504,2.8465828895568848,2.8465828895568848,2.6369149684906006,0.9922219514846802,0.9979835748672484,6.2377448081970215,6.1486992835998535,22,0.7333333333333333,0,B,2028
3,90,0.3138725757598877,3.052802801132202,3.3455746173858643,3.3455746173858643,3.215005874633789,2.601496696472168,2.601496696472168,2.8465828895568848,2.8465828895568848,2.716018915176392,0.9432108402252196,0.9979835748672484,6.226823329925537,6.1486992835998535,27,0.9,1,B,2028
4,120,0.3575906753540039,3.1920857429504395,3.4011363983154297,3.4011363983154297,3.290178775787353,2.6937239170074463,2.6937239170074463,2.9018375873565674,2.9018375873565674,2.791816234588623,0.9967238903045654,0.9985975623130798,6.285502910614014,5.981685638427734,30,1.0,0,B,2028
5,150,0.4002926349639892,3.26369047164917,3.445355176925659,3.445355176925659,3.3599770069122314,2.765075445175171,2.765075445175171,2.94588565826416,2.94588565826416,2.8612148761749268,0.9972293972969056,0.9989392161369324,6.255882740020752,6.1439313888549805,30,1.0,0,B,2028
6,180,0.4382760524749756,3.342445611953736,3.4960267543792725,3.4960267543792725,3.4225685596466064,2.8442156314849854,2.8442156314849854,2.999438524246216,2.999438524246216,2.92411208152771,0.9964586496353148,0.993176281452179,6.20026445388794,6.239861965179443,30,1.0,0,B,2028
7,210,0.482811689376831,3.421250820159912,3.5761663913726807,3.5761663913726807,3.48388671875,2.9230103492736816,2.9230103492736816,3.082736015319824,3.082736015319824,2.9866130352020264,0.9964810013771056,0.986860692501068,6.148288249969482,6.14967155456543,30,1.0,0,B,2028
8,240,0.5230026245117188,3.466634511947632,3.636916399002075,3.636916399002075,3.5340373516082764,2.9690630435943604,2.9690630435943604,3.1419355869293213,3.1419355869293213,3.037261247634888,0.9951437711715698,0.9899616241455078,6.1480488777160645,6.10344934463501,30,1.0,0,B,2028
9,270,0.5678787231445312,3.5498979091644287,3.665170192718506,3.665170192718506,3.620564222335816,3.052841663360596,3.052841663360596,3.1665568351745605,3.1665568351745605,3.1245815753936768,0.9941129684448242,0.997226893901825,6.134345054626465,6.170233726501465,30,1.0,0,B,2028
10,300,0.6111879348754883,3.618351936340332,3.707507133483887,3.707507133483887,3.675278425216675,3.122598886489868,3.122598886489868,3.2122414112091064,3.2122414112091064,3.179469347000122,0.9915066361427308,0.99053156375885,6.141035556793213,6.0674238204956055,30,1.0,0,B,2028
11,330,0.6512234210968018,3.666077136993408,3.7799696922302246,3.7799696922302246,3.710400342941284,3.171811580657959,3.171811580657959,3.3153750896453857,3.3153750896453857,3.21748161315918,0.9885308742523192,0.9291893243789672,6.165010929107666,6.232202529907227,30,1.0,0,B,2028
12,360,0.6947495937347412,3.709050416946411,3.820449590682984,3.820449590682984,3.77815318107605,3.220780849456787,3.220780849456787,3.3413493633270264,3.3413493633270264,3.2995400428771973,0.9765387773513794,0.958200454711914,6.212629795074463,6.236013412475586,30,1.0,0,B,2028
1,30,0.2720785140991211,2.308780670166016,3.2644920349121094,3.2644920349121094,3.003267765045166,1.8214565515518188,1.8214565515518188,2.771300792694092,2.771300792694092,2.510343313217163,0.97464781999588,0.9863827228546144,5.736767768859863,6.186009407043457,10,0.3333333333333333,0,B,2029
